iter	Passed	Remaining
0	135	135763
1	136	68143
2	137	45596
3	137	34310
4	138	27538
5	138	23023
6	139	19796
7	140	17376
8	140	15494
9	141	13990
10	141	12759
11	142	11733
12	143	10867
13	143	10121
14	144	9475
15	144	8909
16	145	8410
17	146	7966
18	146	7569
19	147	7211
20	147	6893
21	148	6600
22	149	6331
23	149	6085
24	150	5858
25	150	5649
26	151	5454
27	151	5274
28	152	5106
29	153	4949
30	153	4802
31	154	4665
32	154	4537
33	155	4416
34	156	4302
35	156	4194
36	157	4092
37	157	3995
38	158	3903
39	159	3816
40	159	3732
41	160	3654
42	160	3579
43	161	3513
44	162	3449
45	163	3383
46	163	3320
47	164	3261
48	165	3203
49	165	3147
50	166	3094
51	166	3042
52	167	2992
53	168	2944
54	168	2898
55	169	2853
56	169	2810
57	170	2769
58	171	2728
59	171	2689
60	172	2652
61	172	2615
62	173	2580
63	174	2545
64	174	2512
65	175	2481
66	176	2451
67	176	2418
68	177	2388
69	177	2360
70	178	2331
71	178	2304
72	179	2278
73	179	2252
74	180	2227
75	181	2202
76	181	2178
77	182	2155
78	182	2133
79	183	2111
80	184	2089
81	184	2068
82	185	2047
83	185	2027
84	186	2005
85	186	1986
86	187	1965
87	187	1947
88	188	1929
89	189	1911
90	189	1894
91	190	1878
92	190	1862
93	191	1847
94	192	1831
95	192	1815
96	193	1800
97	193	1785
98	194	1770
99	195	1756
100	195	1742
101	196	1726
102	196	1712
103	197	1699
104	197	1686
105	198	1673
106	199	1661
107	199	1648
108	200	1636
109	200	1624
110	201	1612
111	201	1601
112	202	1590
113	203	1579
114	203	1568
115	204	1557
116	204	1546
117	205	1536
118	206	1525
119	206	1515
120	207	1505
121	207	1495
122	208	1484
123	208	1474
124	209	1464
125	209	1455
126	210	1446
127	210	1436
128	211	1427
129	211	1418
130	212	1410
131	213	1401
132	213	1393
133	214	1384
134	214	1376
135	215	1368
136	216	1360
137	216	1352
138	217	1345
139	217	1338
140	218	1331
141	219	1323
142	219	1316
143	220	1309
144	220	1301
145	221	1294
146	221	1287
147	222	1280
148	223	1273
149	223	1267
150	224	1260
151	224	1253
152	225	1247
153	225	1240
154	226	1234
155	227	1228
156	227	1222
157	228	1215
158	228	1209
159	229	1204
160	230	1199
161	230	1194
162	231	1188
163	232	1183
164	232	1177
165	233	1172
166	233	1166
167	234	1160
168	234	1155
169	235	1150
170	236	1144
171	236	1139
172	237	1134
173	237	1129
174	238	1124
175	239	1119
176	239	1114
177	240	1109
178	240	1104
179	241	1099
180	241	1093
181	242	1088
182	242	1084
183	243	1079
184	244	1075
185	244	1070
186	245	1066
187	245	1062
188	246	1057
189	247	1053
190	247	1048
191	248	1044
192	248	1040
193	249	1036
194	250	1032
195	250	1027
196	251	1023
197	251	1019
198	252	1015
199	252	1011
200	253	1007
201	254	1003
202	254	999
203	255	996
204	255	992
205	256	988
206	257	985
207	257	981
208	258	977
209	258	974
210	259	970
211	260	967
212	260	963
213	261	960
214	262	956
215	262	953
216	263	949
217	263	946
218	264	942
219	264	939
220	265	935
221	266	932
222	266	929
223	267	925
224	267	922
225	268	919
226	268	915
227	269	912
228	270	909
229	270	906
230	271	903
231	271	900
232	272	897
233	273	894
234	273	891
235	274	888
236	275	885
237	275	882
238	276	879
239	276	876
240	277	873
241	278	870
242	278	868
243	279	865
244	279	862
245	280	859
246	280	856
247	281	853
248	282	850
249	282	848
250	283	845
251	283	842
252	284	839
253	285	837
254	285	834
255	286	831
256	286	829
257	287	826
258	288	824
259	288	822
260	289	819
261	290	817
262	290	814
263	291	812
264	291	809
265	292	807
266	293	804
267	293	802
268	294	799
269	294	797
270	295	794
271	296	792
272	296	790
273	297	787
274	297	785
275	298	782
276	299	780
277	299	778
278	300	776
279	300	773
280	301	771
281	302	769
282	302	767
283	303	765
284	304	762
285	304	760
286	305	758
287	306	756
288	306	754
289	307	752
290	307	750
291	308	747
292	309	745
293	309	743
294	310	741
295	311	740
296	311	738
297	312	736
298	313	734
299	313	732
300	314	730
301	315	728
302	315	726
303	316	724
304	317	722
305	317	720
306	318	718
307	319	716
308	319	714
309	320	712
310	320	710
311	321	708
312	322	707
313	322	705
314	323	703
315	324	701
316	324	700
317	325	698
318	326	696
319	326	694
320	327	692
321	327	690
322	328	688
323	329	686
324	329	684
325	330	682
326	330	681
327	331	679
328	332	678
329	333	676
330	334	675
331	334	673
332	335	671
333	335	669
334	336	667
335	337	666
336	337	664
337	338	662
338	338	660
339	339	658
340	340	657
341	340	655
342	341	653
343	341	651
344	342	649
345	342	648
346	343	646
347	344	645
348	344	643
349	345	641
350	345	639
351	346	637
352	347	636
353	347	634
354	348	632
355	348	630
356	349	629
357	350	627
358	350	626
359	351	624
360	351	622
361	352	621
362	352	619
363	353	617
364	354	616
365	354	614
366	355	612
367	355	611
368	356	609
369	357	608
370	357	606
371	358	605
372	359	603
373	359	602
374	360	600
375	360	598
376	361	597
377	361	595
378	362	594
379	363	592
380	363	590
381	364	589
382	364	587
383	365	586
384	366	584
385	366	583
386	367	581
387	367	579
